Date,AVUV,BIL,DFSVX,DXY,EFV,FBTC,FGBPX,FIKQX,FIWDX,FRDM,FSRIX,IMCB,JBND,JIVE,JMSFX,JMSIX,JPIE,MGK,MGV,MTUM,NERYX,PIMIX,SPHB,VEU,VFINX,VIX,VOO,WOBDX,XLF,XLG,XLRE,XLV
1977-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,
1977-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,,,,
1977-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,
1977-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,,,,,
1977-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,
1977-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,
1977-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
1977-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,
1977-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,
1977-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,
1977-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,
1977-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
1977-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
1977-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,
1977-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,
1977-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,
1977-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,
1977-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,
1977-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,
1977-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,
1977-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,
1977-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,
1977-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,
1977-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,,,,
1977-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,
1977-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,
1977-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,
1977-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,
1977-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
1977-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,,,,
1977-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
1977-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,,,,
1977-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,
1977-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,
1977-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
1977-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
1977-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,,,,
1977-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
1977-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,
1977-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,
1977-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,
1977-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
1977-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,
1977-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,,,,
1977-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,,,,
1977-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,,,,
1977-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,,,,
1977-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,
1977-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
1977-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,
1977-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,
1977-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,
1977-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,
1977-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
