Date,VOO Benchmark,A1V12 Tactical Sleeve,MWM Aggressive,MWM Balanced,MWM Conservative,MWM Growth,MWM Growth Plus,MWM Moderate,MWM Ultra Aggressive,Tactical Aggressive,Tactical Balanced,Tactical Conservative,Tactical Growth,Tactical Growth Plus,Tactical Moderate,Tactical Ultra Aggressive
2018-07-27,257785.8807609108,270893.4683857471,215119.29904864702,173655.42972988627,152082.24630308585,203390.00302072082,209211.15864961242,197020.08462543652,227151.6420611249,220952.4284579876,176592.47287029057,153652.9485266229,208339.60532614353,214594.8219725986,201600.94086391747,233080.85463784813
2018-07-30,256300.52433430566,267716.82261757413,214266.22988268817,173251.8487147558,151870.1797730322,202673.06444133274,208427.6097020872,196379.05087124254,226148.94930647023,219418.0404774256,175863.48643196517,153272.37426817114,207053.56163482467,213187.37492795128,200435.82839204028,231400.67958708218
2018-07-31,257596.4186870225,269283.05846633844,215235.31051485625,173783.07612763735,152274.36529072322,203534.1197954391,209341.69835225752,197060.69073821645,227183.76548427282,220664.53322125657,176519.36361531648,153741.2865572016,208146.37600827098,214355.51750240297,201317.66494185713,232886.2892501153
2018-08-01,257277.4500179021,270231.6745463895,215287.19602512152,173752.40915379373,152242.75417298064,203571.98235420362,209386.40219673535,197032.04978291335,227546.47501799022,220935.0928130277,176605.82406433832,153770.83122274713,208367.3492736262,214600.7120367082,201476.19113038198,233150.48585601052
2018-08-02,258583.4405004445,272547.89776655275,215837.01439852308,174051.71320499692,152407.8639992338,204036.9967293224,209892.92446833535,197497.1758375083,228295.49034610207,221844.3257517358,177078.68026167137,154025.69763550104,209132.53175821694,215436.33085621093,202221.147344587,234216.7605866897
2018-08-03,259849.42614719956,273253.82150248403,216718.18568806292,174465.0608082356,152667.422345753,204793.20233479363,210710.33098523298,198098.8824595888,229223.88528143673,222486.70744223043,177372.2417443723,154221.74451848466,209686.97645489013,216033.82262451356,202634.24181838238,234900.20735135284
2018-08-06,260826.36908913756,274599.42995541537,217266.27246107248,174735.43651669397,152809.18073041138,205253.508887931,211213.58048825816,198528.943010895,229974.07607046494,223079.96066602654,177665.8306085757,154374.7057903876,210183.89905620372,216577.82781328438,203104.06944731524,235595.39442364898
2018-08-07,261554.0843202884,275437.69920699694,217935.17906649935,175045.76521136207,152964.24949880812,205812.320887591,211826.23573779812,199032.64995467645,230796.51782219796,223759.47496797272,177979.30429168075,154530.28959667234,210750.02791185144,217199.35745915017,203616.08846671498,236392.29294326776
2018-08-08,261414.55062859712,275459.74206824845,217918.12938860056,175063.3379989592,152973.46311764597,205798.00864507002,211810.58463283547,199060.6231071241,230888.022604864,223681.5739964924,177973.21305249984,154527.1163705772,210684.80854810306,217127.94131608758,203606.33236601992,236290.57044055764
2018-08-09,261085.60663804226,275173.0302627316,217589.97686467814,174905.96762213964,152892.92500770435,205523.27680437232,211509.72771049853,198807.54067627995,230501.50712552678,223417.5618683342,177846.38283296087,154463.03308461752,210464.5203287049,216886.29036840814,203400.57445041146,236018.18802419605
2018-08-10,259311.086698229,273319.99426030915,215843.91727718033,174150.60920963422,152506.20814495397,204060.82635114065,209908.56927525921,197593.22872574558,228475.61701109938,221676.8708698389,177101.65904263034,154084.50413117127,209010.56243567308,215292.22729903273,202195.56867278495,234042.93842376195
2018-08-13,258334.14375629096,272878.8057297492,214995.61163564192,173669.4574427279,152185.75426683677,203322.79949855793,209116.49175707714,196916.58141657582,227534.85384714452,221034.17920608347,176723.32299102578,153818.6619630272,208446.17179632405,214689.46023329016,201680.53033654604,233295.23992628287
2018-08-14,259998.98693534997,274511.2805974447,216115.55959043867,174207.6072346959,152488.19618926226,204271.4942524305,210149.01700372377,197745.61636417318,228782.11879250722,222247.69661834842,177296.48391414268,154137.69112949644,209470.83966115888,215806.48124902786,202570.44039392224,234754.41731012327
2018-08-15,258084.91604550384,272018.47152988083,214462.56090404865,173451.23954463284,152133.6263047178,202898.56584456036,208639.11984452797,196488.29191556643,226728.41551736393,220353.02385989722,176432.7647049385,153730.28397574116,207899.78900926403,214077.31643721534,201132.17387280398,232449.94868478007
2018-08-16,260178.40465443753,273430.296914708,215955.1801301997,174123.2581150049,152487.28173776012,204153.79783392197,210010.53739198163,197554.07440247427,228443.46611747978,221566.87342899322,176961.20940660915,154006.55223302034,208917.78807633076,215191.079785858,201975.566677507,233893.67802670077
2018-08-17,261045.6708356213,273562.64243035833,216826.58369917292,174486.64660490467,152678.22276530397,204886.04997354405,210810.8749740709,198131.27717576805,229506.8398093721,222073.83205422232,177146.15929905354,154103.12761934396,209342.69184562308,215656.09629125506,202271.09756386408,234523.67981161666
