Trade_Date,Trigger_Date,From,To,New_State,Signal_Price_Basis,Rule
2012-10-09,2012-10-05,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2013-05-07,2013-05-03,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2013-05-16,2013-05-14,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2013-08-20,2013-08-16,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2014-06-20,2014-06-18,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2014-06-27,2014-06-25,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2014-10-15,2014-10-13,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2014-10-17,2014-10-15,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2015-05-04,2015-04-30,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2015-05-26,2015-05-21,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2015-06-12,2015-06-10,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2015-06-22,2015-06-18,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2015-10-08,2015-10-06,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2015-10-13,2015-10-09,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2015-12-17,2015-12-15,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2016-03-31,2016-03-29,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2016-04-21,2016-04-19,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2016-09-08,2016-09-06,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2016-09-12,2016-09-08,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2017-01-20,2017-01-18,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2017-09-26,2017-09-22,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2017-10-02,2017-09-28,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2017-10-04,2017-10-02,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2017-10-09,2017-10-05,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2017-12-21,2017-12-19,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2018-01-04,2018-01-02,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2018-04-25,2018-04-23,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2018-05-02,2018-04-30,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2018-08-21,2018-08-17,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2018-08-24,2018-08-22,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2018-09-19,2018-09-17,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2019-02-01,2019-01-30,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2019-06-05,2019-06-03,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2019-06-11,2019-06-07,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2019-10-01,2019-09-27,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2019-11-01,2019-10-30,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2019-11-06,2019-11-04,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2019-11-18,2019-11-14,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2020-11-12,2020-11-10,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2020-12-21,2020-12-17,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2021-01-08,2021-01-06,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2021-04-27,2021-04-23,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2021-12-20,2021-12-16,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2023-01-30,2023-01-26,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2024-07-26,2024-07-24,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2024-08-19,2024-08-15,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2024-08-28,2024-08-26,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2024-09-26,2024-09-24,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2024-10-03,2024-10-01,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2024-10-10,2024-10-08,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2024-10-17,2024-10-15,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2024-10-22,2024-10-18,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2025-02-26,2025-02-24,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2025-04-29,2025-04-25,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2025-12-16,2025-12-12,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
