Asset,Month,Dividend_Per_Share,Income_on_100k_Initial_Investment
JPIE,2018-02,0.2188331592170455,414.5601473884802
JPIE,2018-03,0.2188331592170455,414.5601473884802
JPIE,2018-04,0.2188331592170455,414.5601473884802
JPIE,2018-05,0.2188331592170455,414.5601473884802
JPIE,2018-06,0.2188331592170455,414.5601473884802
JPIE,2018-07,0.2188331592170455,414.5601473884802
JPIE,2018-08,0.2188331592170455,414.5601473884802
JPIE,2018-09,0.2188331592170455,414.5601473884802
JPIE,2018-10,0.2188331592170455,414.5601473884802
JPIE,2018-11,0.2188331592170455,414.5601473884802
JPIE,2018-12,0.2188331592170455,414.5601473884802
JPIE,2019-01,0.2188331592170455,414.5601473884802
JPIE,2019-02,0.2188331592170455,414.5601473884802
JPIE,2019-03,0.2188331592170455,414.5601473884802
JPIE,2019-04,0.2188331592170455,414.5601473884802
JPIE,2019-05,0.2188331592170455,414.5601473884802
JPIE,2019-06,0.2188331592170455,414.5601473884802
JPIE,2019-07,0.2188331592170455,414.5601473884802
JPIE,2019-08,0.2188331592170455,414.5601473884802
JPIE,2019-09,0.2188331592170455,414.5601473884802
JPIE,2019-10,0.2188331592170455,414.5601473884802
JPIE,2019-11,0.20815837096255546,394.3377011744079
JPIE,2019-12,0.2188331592170455,414.5601473884801
JPIE,2020-01,0.20815837096255546,394.3377011744079
JPIE,2020-02,0.20815837096255546,394.3377011744079
JPIE,2020-03,0.20815837096255546,394.3377011744079
JPIE,2020-04,0.20815837096255546,394.3377011744079
JPIE,2020-05,0.20815837096255546,394.3377011744079
JPIE,2020-06,0.20815837096255546,394.3377011744079
JPIE,2020-07,0.20815837096255546,394.3377011744079
JPIE,2020-08,0.20815837096255546,394.3377011744079
JPIE,2020-09,0.20815837096255546,394.3377011744079
JPIE,2020-10,0.18680879445357543,353.89280874626354
JPIE,2020-11,0.18680879445357543,353.89280874626354
JPIE,2020-12,0.24552012985327054,465.11626292366066
JPIE,2021-01,0.18680879445357543,353.89280874626354
JPIE,2021-02,0.17079661207184038,323.55913942515525
JPIE,2021-03,0.17079661207184038,323.55913942515525
JPIE,2021-04,0.17079661207184038,323.55913942515525
JPIE,2021-05,0.17079661207184038,323.55913942515525
JPIE,2021-06,0.17079661207184038,323.55913942515525
JPIE,2021-07,0.17079661207184038,323.55913942515525
JPIE,2021-08,0.17079661207184038,323.55913942515525
JPIE,2021-09,0.16012182381735035,303.336693211083
JPIE,2021-12,0.315,596.7397577889536
JPIE,2022-02,0.133,251.95678662200265
JPIE,2022-03,0.109,206.49090031427284
JPIE,2022-04,0.141,267.1120820579125
JPIE,2022-05,0.143,270.90090591689005
JPIE,2022-06,0.135,255.74561048098013
JPIE,2022-07,0.187,354.2550308143947
JPIE,2022-08,0.18,340.9941473079735
JPIE,2022-09,0.185,350.4662069554172
JPIE,2022-10,0.204,386.46003361570325
JPIE,2022-11,0.201,380.7767978272371
JPIE,2022-12,0.40900000000000003,774.8144791608953
JPIE,2023-02,0.209,395.932093263147
JPIE,2023-03,0.206,390.24885747468073
JPIE,2023-04,0.208,394.03768133365827
JPIE,2023-05,0.204,386.46003361570325
JPIE,2023-06,0.204,386.46003361570325
JPIE,2023-07,0.206,390.24885747468073
JPIE,2023-08,0.206,390.24885747468073
JPIE,2023-09,0.204,386.46003361570325
JPIE,2023-10,0.23,435.7147437824106
JPIE,2023-11,0.228,431.9259199234331
JPIE,2023-12,0.494,935.8394931674384
JPIE,2024-02,0.237,448.97562728883173
JPIE,2024-03,0.235,445.18680342985425
JPIE,2024-04,0.236,447.081215359343
JPIE,2024-05,0.234,443.29239150036557
JPIE,2024-06,0.235,445.18680342985425
JPIE,2024-07,0.236,447.081215359343
JPIE,2024-08,0.232,439.5035676413881
JPIE,2024-09,0.231,437.60915571189935
JPIE,2024-10,0.231,437.60915571189935
JPIE,2024-11,0.23,435.7147437824106
JPIE,2024-12,0.45,852.4853682699338
JPIE,2025-02,0.22,416.77062448752315
JPIE,2025-03,0.218,412.98180062854567
JPIE,2025-04,0.213,403.50974098110197
JPIE,2025-05,0.228,431.9259199234331
JPIE,2025-06,0.203,384.56562168621457
JPIE,2025-07,0.212,401.61532905161323
JPIE,2025-08,0.223,422.45386027598937
JPIE,2025-09,0.226,428.13709606445565
