Date,A1V12,EffectiveHolding,MGK Buy Hold,MGV Buy Hold,VOO Benchmark,BIL Buy Hold
2014-09-22,203696.2122164985,MGV,172375.69163389975,167685.72860696912,169632.70014480615,99786.27777797851
2014-09-23,202123.2437073934,MGV,171867.76210579887,166390.83771206744,168675.5696138195,99786.27777797851
2014-09-24,204097.16513006063,MGK,173546.2106170331,167601.2760789902,170032.19630469504,99786.27777797851
2014-09-25,200305.0920818922,MGK,170321.76647802096,165124.10723331379,167300.39020254134,99786.27777797851
2014-09-26,202668.6427781016,MGK,172331.5213252625,166109.377152913,168647.73190404326,99786.27777797851
2014-09-29,202279.05446068486,MGK,172000.24981472848,165518.2956184561,168313.16163639136,99764.49467062342
2014-09-30,202019.3653211852,MGK,171779.4330970154,165152.3394506249,167802.12479560726,99786.27777797851
2014-10-01,199136.27252147463,MGK,169327.9055124545,163181.8570523569,165600.0463213968,99786.27777797851
2014-10-02,199188.23219264147,MGK,169372.0874295829,162984.77722001835,165590.67504030038,99786.27777797851
2014-10-03,201421.93831910111,MGK,171271.4339179679,164870.82145054,167439.7685932128,99742.6599445305
2014-10-06,200954.4104949341,MGK,170873.88953174133,164814.5006182439,167235.29172685873,99742.6599445305
2014-10-07,198123.38658272492,MGK,168466.63673223762,162196.6014929903,164670.770758531,99764.49467062342
2014-10-08,201551.85114906006,MGK,171381.90031927993,165011.55173011724,167551.27475741887,99764.49467062342
2014-10-09,197785.70332830775,MGK,168179.5007048676,161605.49123806818,164168.98439043137,99764.49467062342
2014-10-10,195925.2630376081,MGV,165750.09890434417,160085.3744549125,162329.24486027085,99764.49467062342
2014-10-13,192928.04128489643,MGV,162591.92764102458,157636.4234663146,159662.50271711062,99764.49467062342
2014-10-14,193031.36588122562,MGV,162768.5972670826,157720.84727382832,159922.67226136176,99742.6599445305
2014-10-15,192193.24303435654,MGK,162061.8723288862,155891.152596068,158733.26167093395,99742.6599445305
2014-10-16,192167.03104519032,MGK,162039.76976183092,155947.44470789886,158631.09227113516,99764.49467062342
2014-10-17,194655.22889703448,MGK,164137.8768348381,158058.65738574407,160591.6056965308,99764.49467062342
2014-10-20,197143.4680492817,MGK,166236.0187333186,158931.28564075107,162171.2792325076,99764.49467062342
2014-10-21,201464.9770278458,MGK,169880.0169576838,161774.3388530956,165321.2550233648,99742.6599445305
2014-10-22,199841.1828460421,MGK,168510.79543238378,160929.89973470187,164196.92565027502,99764.49467062342
2014-10-23,202853.19371037837,MGK,171050.5939832726,162281.05402096926,166083.15916068183,99742.6599445305
2014-10-24,203874.6352797985,MGK,171911.89758896283,163688.5434997653,167328.26242900672,99742.6599445305
2014-10-27,203560.2979118195,MGK,171646.84091166587,163407.02549968046,167114.56960665731,99742.6599445305
2014-10-28,206074.7352864319,MGK,173767.07376871057,165124.10723331379,169037.9603329031,99742.6599445305
2014-10-29,205550.9360407408,MGK,173325.39389932,165095.97553763096,168842.88926433458,99764.49467062342
2014-10-30,207122.4439122224,MGK,174650.52637542045,166053.0994013147,169911.38789277078,99742.6599445305
2014-10-31,209505.84887460584,MGK,176660.26961417092,167770.18113494807,171834.84765239485,99764.49467062342
2014-11-03,209715.3795863231,MGK,176836.95084872,167798.2984703983,171937.05156888274,99742.6599445305
2014-11-04,208667.71226093572,MGK,175953.5330674834,167573.14438330734,171323.81081161075,99764.49467062342
2014-11-05,209322.4888516517,MGK,176505.6561212038,168783.5827502301,172448.07115132228,99742.6599445305
2014-11-06,210108.27032099455,MGK,177168.24557623622,169599.8758127084,173144.96310467954,99764.49467062342
2014-11-07,210055.86010946316,MGK,177124.05205061674,169740.6060922856,173293.73003479195,99742.6599445305
2014-11-10,210553.4611327891,MGK,177543.6409614431,170331.75942790558,173814.0346066051,99764.49467062342
2014-11-11,211051.14475692122,MGK,177963.29952321606,170388.06589996905,173981.3024820865,99764.49467062342
2014-11-12,211286.83239060058,MGK,178162.03689085605,169881.39381279325,173841.82054134767,99764.49467062342
2014-11-13,211627.3129137406,MGK,178449.13809275278,170191.00042786312,173999.82068580002,99742.6599445305
2014-11-14,211732.09203640028,MGK,178537.49031851842,170191.00042786312,174064.8846447935,99742.6599445305
2014-11-17,211391.61151326023,MGK,178250.3891166217,170613.26306775783,174157.73453852956,99764.49467062342
2014-11-18,213015.55712987526,MGK,179619.7383353238,171317.04370773738,175161.35904976245,99742.6599445305
2014-11-19,212517.85973894212,MGK,179200.06816505975,171091.8034592508,174845.42779423602,99742.6599445305
2014-11-20,212805.95758415284,MGK,179442.9990583192,171119.94951516623,175161.35904976245,99742.6599445305
2014-11-21,214167.89344351407,MGK,180591.41547439725,172105.17635406763,176146.24099880253,99742.6599445305
2014-11-24,215398.9483254577,MGK,181629.46996558315,172020.70946585608,176601.56790334499,99764.49467062342
2014-11-25,215529.80176927324,MGK,181739.80867349307,171851.8187701308,176545.7889337251,99764.49467062342
2014-11-26,216263.2418610899,MGK,182358.26264536154,172442.92902505293,176954.69089139954,99742.6599445305
2014-11-28,215975.15778268018,MGK,182115.34336059316,171542.19779482833,176573.66116019047,99764.49467062342
2014-12-01,213775.0302424447,MGK,180260.14396386323,171232.5193785954,175365.7841410828,99742.6599445305
